'Elapsed time','EMG'
'seconds','mV'
0.182,-0.588
0.182,-0.093
0.182,-0.068
0.183,0.287
0.183,0.293
0.183,0.403
0.183,0.405
0.184,0.418
0.184,0.408
0.184,0.357
0.184,0.353
0.185,0.278
0.185,0.275
0.185,0.200
0.185,0.197
0.186,0.138
0.186,0.137
0.186,0.070
0.186,0.067
0.187,-0.008
0.187,-0.010
0.187,-0.050
0.188,-0.052
0.188,-0.062
0.188,-0.063
0.188,-0.053
0.189,-0.052
0.189,-0.033
0.189,-0.033
0.189,-0.020
0.190,-0.020
0.190,-0.033
0.190,-0.032
0.190,-0.038
0.191,-0.038
0.191,-0.017
0.191,-0.020
0.191,-0.005
0.192,-0.007
0.192,0.000
0.192,-0.002
0.192,-0.005
0.193,-0.005
0.193,-0.023
0.193,-0.023
0.193,-0.042
0.194,-0.040
0.194,-0.055
0.194,-0.052
0.194,-0.057
0.195,-0.052
0.195,-0.058
0.195,-0.057
0.195,-0.062
0.196,-0.052
0.196,-0.060
0.196,-0.055
0.196,-0.045
0.197,-0.043
0.197,-0.033
0.197,-0.037
0.197,-0.030
0.198,-0.030
0.198,-0.037
0.198,-0.037
0.198,-0.030
0.199,-0.032
0.199,-0.025
0.199,-0.025
0.199,-0.012
0.200,-0.010
0.200,0.000
0.200,0.002
0.200,0.007
0.201,0.003
0.201,0.008
0.201,0.008
0.201,0.003
0.202,0.005
0.202,0.000
0.202,-0.002
0.202,-0.010
0.203,-0.008
0.203,-0.015
0.203,-0.012
0.203,-0.018
0.203,-0.017
0.204,-0.022
0.204,-0.023
0.204,-0.027
0.204,-0.025
0.205,-0.032
0.205,-0.030
0.205,-0.025
0.205,-0.022
0.206,-0.027
0.206,-0.018
0.206,-0.023
0.206,-0.018
0.207,-0.005
0.207,-0.003
0.207,0.032
0.207,0.033
0.208,0.068
0.208,0.070
0.208,0.103
0.208,0.107
0.209,0.148
0.209,0.147
0.209,0.197
0.209,0.200
0.210,0.282
0.210,0.282
